# of predictors,i,predictors,fold,mcc
2,21,0|2,3,0.18924199540776587
2,21,0|2,4,0.43650292639777344
2,22,8|10,0,0.2548509505142025
2,22,8|10,1,0.34207444419765465
2,22,8|10,2,0.5664093865889943
2,22,8|10,3,0.09980541635777128
2,22,8|10,4,0.44421088265673625
2,23,4|7,0,0.19538712238500955
2,23,4|7,1,0.22719258598820255
2,23,4|7,2,0.1964174946591233
2,23,4|7,3,0.3411551381824127
2,23,4|7,4,0.5151900532404451
2,24,3|4,0,0.44723703563387945
2,24,3|4,1,0.2457687179602891
2,24,3|4,2,0.11681338357502363
2,24,3|4,3,0.17251237871270036
2,24,3|4,4,0.291801234651012
2,25,7|8,0,0.29095718698132317
2,25,7|8,1,0.2232952478719928
2,25,7|8,2,0.18499891602515212
2,25,7|8,3,0.18735992234901797
2,25,7|8,4,0.39260951177856473
2,26,3|8,0,0.19271561878647278
2,26,3|8,1,0.16866924171429684
2,26,3|8,2,0.23677325772482347
2,26,3|8,3,0.2818019171044602
2,26,3|8,4,0.45605174407879523
2,27,0|9,0,0.25073959760668413
2,27,0|9,1,0.2866581049746528
2,27,0|9,2,0.40245701366004333
2,27,0|9,3,-0.10129168737870824
2,27,0|9,4,0.4242640687119285
2,28,8|9,0,0.3588185690043636
2,28,8|9,1,0.39009474880274697
2,28,8|9,2,0.32065697485379613
2,28,8|9,3,0.03654988093610132
2,28,8|9,4,0.3736489349242793
2,29,3|10,0,0.2162995061231084
2,29,3|10,1,0.22677868380553634
2,29,3|10,2,0.03695121120487795
2,29,3|10,3,0.3237481030440162
2,29,3|10,4,0.1731998422775508
2,30,3|9,0,0.4435789982377712
2,30,3|9,1,0.29293518254148
2,30,3|9,2,0.3105295017040594
2,30,3|9,3,0.05679618342470648
2,30,3|9,4,0.5072960290039953
2,31,4|10,0,0.40994579587496144
2,31,4|10,1,0.33174440134851857
2,31,4|10,2,0.13594483095414925
2,31,4|10,3,0.1502719238140296
2,31,4|10,4,0.24520278556807898
2,32,2|6,0,0.3390839092163114
2,32,2|6,1,0.12900137616901872
2,32,2|6,2,0.4170158568020597
2,32,2|6,3,0.22786320850686884
2,32,2|6,4,0.5279144431457569
2,33,6|9,0,0.28525463876807
2,33,6|9,1,0.17612204404281287
2,33,6|9,2,0.4527343001960224
2,33,6|9,3,0.08446557856466828
2,33,6|9,4,0.4958344150970749
2,34,2|4,0,0.3525079774951049
2,34,2|4,1,0.24873951240050257
2,34,2|4,2,0.33904372305921493
2,34,2|4,3,0.12338837772901592
2,34,2|4,4,0.3245567418059366
2,35,5|7,0,0.19851440394751016
2,35,5|7,1,0.25072909556945994
2,35,5|7,2,0.27616370100541104
2,35,5|7,3,-0.15896375455918474
2,35,5|7,4,0.4017943245558392
2,36,1|10,0,0.15042216459403068
2,36,1|10,1,0.23460717981446044
2,36,1|10,2,0.45743983263396737
2,36,1|10,3,0.13698990388431467
2,36,1|10,4,0.32468559993563945
2,37,1|3,0,0.22824095483457055
2,37,1|3,1,0.2345787158142091
2,37,1|3,2,0.3487336995594646
2,37,1|3,3,0.20661551153014437
2,37,1|3,4,0.4112489110333541
2,38,3|9,0,0.4435789982377712
2,38,3|9,1,0.29293518254148
2,38,3|9,2,0.3105295017040594
2,38,3|9,3,0.05679618342470648
2,38,3|9,4,0.5072960290039953
2,39,8|10,0,0.2548509505142025
2,39,8|10,1,0.34207444419765465
2,39,8|10,2,0.5664093865889943
2,39,8|10,3,0.09980541635777128
2,39,8|10,4,0.44421088265673625
2,40,0|8,0,0.3236236302363017
2,40,0|8,1,0.19907151681945892
2,40,0|8,2,0.3646856853073908
2,40,0|8,3,0.16849087695552212
2,40,0|8,4,0.4292027021917886
2,41,1|8,0,0.2587982160565464
2,41,1|8,1,0.14907119849998599
2,41,1|8,2,0.38890872965260115
2,41,1|8,3,0.27226234858230686
2,41,1|8,4,0.5428506101102081
2,42,0|2,0,0.23760191507915335
2,42,0|2,1,0.1645653986797062
2,42,0|2,2,0.2817203568203842
2,42,0|2,3,0.18924199540776587
2,42,0|2,4,0.43650292639777344
2,43,3|5,0,0.24903559539234713
2,43,3|5,1,0.20510731139453106
2,43,3|5,2,0.4519872154580671
2,43,3|5,3,0.14721171785959625
2,43,3|5,4,0.468900976846915
2,44,7|8,0,0.29095718698132317
2,44,7|8,1,0.2232952478719928
2,44,7|8,2,0.18499891602515212
2,44,7|8,3,0.18735992234901797
2,44,7|8,4,0.39260951177856473
2,45,1|6,0,0.28529686318692704
2,45,1|6,1,0.07250838297158224
2,45,1|6,2,0.5020555429320549
2,45,1|6,3,0.2214698919570745
2,45,1|6,4,0.44558585436153963
2,46,3|10,0,0.2162995061231084
2,46,3|10,1,0.22677868380553634
2,46,3|10,2,0.03695121120487795
2,46,3|10,3,0.3237481030440162
2,46,3|10,4,0.1731998422775508
2,47,5|7,0,0.19851440394751016
2,47,5|7,1,0.25072909556945994
2,47,5|7,2,0.27616370100541104
2,47,5|7,3,-0.15896375455918474
2,47,5|7,4,0.4017943245558392
2,48,7|10,0,0.061865270517993724
2,48,7|10,1,0.24813516777265204
2,48,7|10,2,0.2566221217937553
2,48,7|10,3,0.03675948925103043
2,48,7|10,4,0.3095116361226854
2,49,1|3,0,0.22824095483457055
2,49,1|3,1,0.2345787158142091
2,49,1|3,2,0.3487336995594646
2,49,1|3,3,0.20661551153014437
2,49,1|3,4,0.4112489110333541
2,50,5|10,0,0.02857142857142857
2,50,5|10,1,0.3282789103603942
2,50,5|10,2,0.34214991373298964
2,50,5|10,3,0.03675948925103043
2,50,5|10,4,0.3107594384269423
2,51,0|8,0,0.3236236302363017
2,51,0|8,1,0.19907151681945892
2,51,0|8,2,0.3646856853073908
2,51,0|8,3,0.16849087695552212
2,51,0|8,4,0.4292027021917886
2,52,7|9,0,0.2870165128772088
2,52,7|9,1,0.20519498058335356
2,52,7|9,2,0.3683628304938625
2,52,7|9,3,-0.08428415925743335
2,52,7|9,4,0.2888138197727784
2,53,9|10,0,0.33127067443445657
2,53,9|10,1,0.2719478272743048
2,53,9|10,2,0.3421995739711804
2,53,9|10,3,-0.03627381250550058
2,53,9|10,4,0.25334729596906996
2,54,8|9,0,0.3588185690043636
2,54,8|9,1,0.39009474880274697
2,54,8|9,2,0.32065697485379613
2,54,8|9,3,0.03654988093610132
2,54,8|9,4,0.3736489349242793
2,55,6|10,0,0.16119466625418058
2,55,6|10,1,0.2268907596390948
2,55,6|10,2,0.3269674851672177
2,55,6|10,3,-0.059869292356187084
2,55,6|10,4,0.262436420077877
2,56,4|10,0,0.40994579587496144
2,56,4|10,1,0.33174440134851857
2,56,4|10,2,0.13594483095414925
2,56,4|10,3,0.1502719238140296
2,56,4|10,4,0.24520278556807898
2,57,1|10,0,0.15042216459403068
2,57,1|10,1,0.23460717981446044
2,57,1|10,2,0.45743983263396737
2,57,1|10,3,0.13698990388431467
2,57,1|10,4,0.32468559993563945
2,58,1|5,0,0.38898363554390464
2,58,1|5,1,0.2937594193904019
2,58,1|5,2,0.3981381186150431
2,58,1|5,3,0.3535533905932738
2,58,1|5,4,0.42783475900050916
2,59,7|9,0,0.2870165128772088
2,59,7|9,1,0.20519498058335356
2,59,7|9,2,0.3683628304938625
2,59,7|9,3,-0.08428415925743335
2,59,7|9,4,0.2888138197727784
2,60,6|8,0,0.2902457902226609
2,60,6|8,1,0.27009724765160487
2,60,6|8,2,0.4522150818395613
2,60,6|8,3,-0.012108986992412068
2,60,6|8,4,0.5102496096121558
2,61,3|5,0,0.24903559539234713
2,61,3|5,1,0.20510731139453106
2,61,3|5,2,0.4519872154580671
2,61,3|5,3,0.14721171785959625
2,61,3|5,4,0.468900976846915
2,62,0|9,0,0.25073959760668413
2,62,0|9,1,0.2866581049746528
2,62,0|9,2,0.40245701366004333
2,62,0|9,3,-0.10129168737870824
2,62,0|9,4,0.4242640687119285
2,63,1|6,0,0.28529686318692704
2,63,1|6,1,0.07250838297158224
2,63,1|6,2,0.5020555429320549
2,63,1|6,3,0.2214698919570745
2,63,1|6,4,0.44558585436153963
2,64,4|8,0,0.2539166875385041
2,64,4|8,1,0.306538295791215
2,64,4|8,2,0.4353577159671462
2,64,4|8,3,0.13959139006150975
2,64,4|8,4,0.5256238691727411
2,65,5|9,0,0.2977308511240907
2,65,5|9,1,0.32591793686653514
2,65,5|9,2,0.3373487100682424
2,65,5|9,3,0.0725999912707851
2,65,5|9,4,0.340661427170692
2,66,5|7,0,0.19851440394751016
2,66,5|7,1,0.25072909556945994
2,66,5|7,2,0.27616370100541104
2,66,5|7,3,-0.15896375455918474
2,66,5|7,4,0.4017943245558392
2,67,1|8,0,0.2587982160565464
2,67,1|8,1,0.14907119849998599
2,67,1|8,2,0.38890872965260115
2,67,1|8,3,0.27226234858230686
2,67,1|8,4,0.5428506101102081
2,68,2|6,0,0.3390839092163114
2,68,2|6,1,0.12900137616901872
2,68,2|6,2,0.4170158568020597
2,68,2|6,3,0.22786320850686884
2,68,2|6,4,0.5279144431457569
2,69,0|10,0,0.044327788748862874
2,69,0|10,1,0.09124165919456861
2,69,0|10,2,0.14621319748994824
